"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","20353.1064427559","23935.439005062","28749.6520899163","32261.7643203565","32936.9740462437","34198.8796385132","34293.2512640141","34632.5719960278","35423.7288135593","34687.0910313231","33885.1490384615","35317.468490714","35267.3602438214","35010.8050109544","36911.0541203923","35025.9370492368","33132.4774717871","33081.8011276374","35077.2101643761","35043.9013905689","35130.0682309538","35625.4055442493","35545.3323861955","31775.6433886945","30540.2826820368","31476.0010191482","30889.2355694228","31999.1469479154","31904.9376529767","33540.2622171534","34071.2163399191","34589.7054078166","","","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990.4120125636","20763.7134952059","20166.7186250512","21620.3221953899","22107.5053283016","24544.3656634738","24935.6547119995","29552.5831229813","32881.4254612704","31999.8478604279","34871.7956677154","35560.223718122","35323.6520336981","34750.3891928962","34562.1472787293","34584.3535480882","34170.9505150024","34696.1279892983","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49617.1436686426","45791.6881283118","44193.3227060934","44435.6643573","45452.5482646668","45403.6068737437","45099.0895946862","45319.3488825107","46450.8224109482","44901.2677641414","41911.9514145531","40943.4249978835","37308.890593825","27454.9520617475","26939.3984721426","29999.5743770296","32985.377230123","34264.5008227107","34732.1166155293","34355.1760589944","34263.1232413972","34544.8050729879","37979.8589701929","37815.8427355736","40533.6807877325","45004.8845602581","48417.3029783124","53205.779813534","56992.3676717629","55391.6603954619","55746.3301251408","55623.2135861197","58241.1191109295","58993.6184884712","59713.2431381016","58239.0909089931","54851.7943184089","52981.3982396739","50246.4446171314","48339.2534146188","",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207072.248787522","214627.587384069","216335.679728889","214135.973837716","207053.432492531","206451.744850228","213914.264290733","208032.699338668","201245.586061465","215179.060240757","191105.030758773","138423.44931875","129256.285495801","142479.138050009","155259.17713784","177033.494113779","194347.688297439","174211.120290724","190791.058420408","216752.296239873","233298.876960286","255021.624594427","267400.175679529","283245.32111951","300103.745070515","318324.216574735","339239.173185918","362252.90966348","392421.462389145","408310.1698059","425553.262403532","437560.494218116","444496.512723585","449773.59268721","458703.514999806","470248.408114269","486613.6029298","505580.393233655","527463.912619977","541581.745631168","",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","31455.4749611885","31265.5830511863","32137.5511643332","32996.3980779982","33329.8234574688","32217.2652779386","32158.8954380089","32068.6277291737","31606.1290397235","30637.5753378227","30229.8627295378","29036.1623695864","28185.0042590451","27453.5087256026","26740.170007247","26199.0060384155","25936.5380987018","26280.371764239","26535.4195372023","26748.149358538","26710.0025703994","26345.109324331","25588.8612165348","24459.7212683177","24361.008755958","24572.8819110271","25511.6832461886","27839.2733876489","28811.5397867427","29886.3138072632","30458.1740327267","31977.1016171426","32138.5030478665","33437.1840069963","34705.4194428414","35362.192044835","36089.7855370217","35900.7788689468","33428.7281486251","31430.8040206955","30815.1665502256","31070.9637360144","29998.1802079416","29526.0851264021","30861.9797255501","31786.9274845855","33270.6314604706","33514.110206361","34044.3601797263","34612.7919939851","",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","380489.020082035","381083.036954361","401472.689516743","347725.812320169","377050.55030915","426864.785303514","415342.626275522","364751.28338968","329438.082019831","325322.457690319","297055.548016197","238611.222016344","232661.299832544","213544.110072978","226182.248515224","252596.71144456","240470.551164518","234503.413819828","224321.337199323","227119.202357059","230198.209300689","231648.837237695","238215.685369486","226864.527867414","221420.566756821","232291.218169902","223512.999380208","217365.017447224","221639.56182387","221555.757133342","206001.249502803","195872.903455622","173650.134790377","155922.582889284","132298.353847716","124473.157155308","127196.531220125","130068.535078557","135804.764343204","141373.057728988","147809.851374839","150738.170576158","152262.890956354","151774.813195385","152116.723934425","",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8931.45118822149","9264.48609689048","9039.73818478804","8426.10465002118","9137.03479457553","9949.93574815649","9737.35848812807","9900.79675385745","10226.2288704858","11049.4693172079","11212.9460529863","11662.3009547247","11662.9786993301","11797.9101437495","12252.3399765743","12057.7918351707","11634.9989639541","12256.6553408155","11531.5002818915","12520.6439819666","12516.933857866","11682.2403091569","11412.6427185542","11718.7277102351","11712.6527242748","10928.773158767","11418.8531796435","11545.1515828435","11244.6019059841","10284.220180485","9885.79888093815","10638.5374981106","11328.7239296131","12099.4080531559","12644.5435313862","12134.6958166335","12653.4053261762","13522.0305087055","13884.5499429214","13265.9714075255","13017.2460625807","12308.1847528784","10849.0769178469","11681.9112479596","12603.0226562567","13577.1701675042","14521.5366716079","15672.2578188676","16147.0453136914","15040.2901203346","16439.0564015752","17226.2707236215","16856.718216504","17070.0712000244","16459.2049590457","16727.4347429468","16207.200833909","16492.0664039746","15906.5830112516","15420.5009210066","",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","736945.085647302","656832.55146982","389209.723955703","363372.160275555","392259.959185874","427969.429418266","460096.959839607","480707.652639296","519848.137879433","540421.738045245","575929.412680712","635130.069063132","722926.800029532","828518.392031364","920764.165100376","1055592.85404974","1204206.013","1381175.93065309","1489171.97228109","1287847.21400842","1321107.77539786","1383575.38916573","1479237.7789697","1521009.81248516","1567748.29225214","1610643.90359703","1608042.7037007","1723560.59893867","1808906.1349845","1942464.21659035","",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12474.6106973595","12486.5555256789","12516.546304519","12491.1856552836","12062.8690341246","12456.0952625717","12314.7568357337","11961.2582255703","12143.5831594715","12249.143636005","11730.4686798283","11397.6989212572","11489.3083113764","11646.2409517666","11338.15324447","10697.5907946782","10961.8678445867","","",
